name,id,found,desc
Abdalla Tiya Guma’a,Q112325541,Abdalla Tiya Guma’a,Abdalla Tiya Guma’a
Abdallah Hassan Ahmed,Q112325542,Abdallah Hassan Ahmed,Abdallah Hassan Ahmed
Abdallah Mohammed Sid Ahmed,Q112325543,Abdallah Mohammed Sid Ahmed,Abdallah Mohammed Sid Ahmed
Abdalrahman Said,Q112325544,Abdalrahman Said,Abdalrahman Said
Abdel Rahmi Mohamed Hussein,Q307796,Abdel Rahmi Mohamed Hussein,Abdel Rahmi Mohamed Hussein
Abdel Wahab Osmane,Q112325546,Abdel Wahab Osmane,Abdel Wahab Osmane
Abdel Wahid Yousif Ibrahim,Q112325547,Abdel Wahid Yousif Ibrahim,Abdel Wahid Yousif Ibrahim
Abdin Muhammad Sharif,Q112325549,Abdin Muhammad Sharif,Abdin Muhammad Sharif
Abdul Basit Abdulmajid,Q112325550,Abdul Basit Abdulmajid,Abdul Basit Abdulmajid
Abdul Rahim Mahmud Hamdi,Q112325551,Abdul Rahim Mahmud Hamdi,Abdul Rahim Mahmud Hamdi
Abdul-Bagi Al-Gailani,Q112325552,Abdul-Bagi Al-Gailani,Abdul-Bagi Al-Gailani
Abdul-Halim Ismail al-Muaafi,Q112325553,Abdul-Halim Ismail al-Muaafi,Abdul-Halim Ismail al-Muaafi
Abdul-Karim Musa,Q112325554,Abdul-Karim Musa,Abdul-Karim Musa
Abdul-Latif Ahmed Mohamed Ujaimi,Q112325555,Abdul-Latif Ahmed Mohamed Ujaimi,Abdul-Latif Ahmed Mohamed Ujaimi
Abdul-Rahman Osman Abdul-Rahman,Q112325557,Abdul-Rahman Osman Abdul-Rahman,Abdul-Rahman Osman Abdul-Rahman
Abdul-Wahab Mohamed Osman,Q112325558,Abdul-Wahab Mohamed Osman,Abdul-Wahab Mohamed Osman
Abdulrahman Sir el Khatim,Q112325559,Abdulrahman Sir el Khatim,Abdulrahman Sir el Khatim
Abu-Bakr Ahmed Abdul-Rahim,Q112325560,Abu-Bakr Ahmed Abdul-Rahim,Abu-Bakr Ahmed Abdul-Rahim
Abu-Bakr Osman Ibrahim,Q112325561,Abu-Bakr Osman Ibrahim,Abu-Bakr Osman Ibrahim
Abu-al-Bashir Abd-al-Rahman Yusuf,Q112325562,Abu-al-Bashir Abd-al-Rahman Yusuf,Abu-al-Bashir Abd-al-Rahman Yusuf
Abul Gasim Mohamed Ibrahim,Q112325563,Abul Gasim Mohamed Ibrahim,Abul Gasim Mohamed Ibrahim
Adam Tahir Hamdoun,Q112325564,Adam Tahir Hamdoun,Adam Tahir Hamdoun
Agnes Loukoudo,Q112325565,Agnes Loukoudo,Agnes Loukoudo
Ahmad Babiker Nahar,Q112325566,Ahmad Babiker Nahar,Ahmad Babiker Nahar
Ahmed Ibrahim Taher,Q112325567,Ahmed Ibrahim Taher,Ahmed Ibrahim Taher
Ahmed Mohammed Saddiq al-Karrouri,Q112325568,Ahmed Mohammed Saddiq al-Karrouri,Ahmed Mohammed Saddiq al-Karrouri
Ahmed Saad Omar Khidir,Q112325569,Ahmed Saad Omar Khidir,Ahmed Saad Omar Khidir
Al Sammani al-Cheikh al-Waseilah,Q112325571,Al Sammani al-Cheikh al-Waseilah,Al Sammani al-Cheikh al-Waseilah
Al-Fatih Ali Sidiq,Q112325572,Al-Fatih Ali Sidiq,Al-Fatih Ali Sidiq
Al-Hadi Bouchra,Q112325573,Al-Hadi Bouchra,Al-Hadi Bouchra
Al-Hadi Muhammad Awad,Q112325574,Al-Hadi Muhammad Awad,Al-Hadi Muhammad Awad
Al-Haj Adam Yousif,Q19605286,Al-Haj Adam Yousif,Al-Haj Adam Yousif
Al-Khair al-Nour al-Mubrak,Q112325576,Al-Khair al-Nour al-Mubrak,Al-Khair al-Nour al-Mubrak
Al-Sadiq Al-Hadi Abdul-Rahman Al-Mahdi,Q112325577,Al-Sadiq Al-Hadi Abdul-Rahman Al-Mahdi,Al-Sadiq Al-Hadi Abdul-Rahman Al-Mahdi
Al-Samawa’al Khalafalla Al-Quraish,Q112325578,Al-Samawa’al Khalafalla Al-Quraish,Al-Samawa’al Khalafalla Al-Quraish
Al-Samual Khalfalla,Q112325579,Al-Samual Khalfalla,Al-Samual Khalfalla
Al-Tayyib Hassan Badawi,Q112325580,Al-Tayyib Hassan Badawi,Al-Tayyib Hassan Badawi
Al-Tijani Salih Fudayl,Q112325581,Al-Tijani Salih Fudayl,Al-Tijani Salih Fudayl
Al-Zahawi Ibrahim Malik,Q112325582,Al-Zahawi Ibrahim Malik,Al-Zahawi Ibrahim Malik
Ali Mahmoud Abdul-Rasool,Q112325583,Ali Mahmoud Abdul-Rasool,Ali Mahmoud Abdul-Rasool
Ali Mohamed Osmane Yassine,Q112325585,Ali Mohamed Osmane Yassine,Ali Mohamed Osmane Yassine
Ali Osman Mohamed Taha,Q112325586,Ali Osman Mohamed Taha,Ali Osman Mohamed Taha
Ali Tamim Fartak,Q112325587,Ali Tamim Fartak,Ali Tamim Fartak
Alison Manani Magaya,Q112325588,Alison Manani Magaya,Alison Manani Magaya
Altayeb Ibrahim Mohammed Khair,Q112325589,Altayeb Ibrahim Mohammed Khair,Altayeb Ibrahim Mohammed Khair
Amira Al-Fadil Mohamed Al-Fadil,Q112325590,Amira Al-Fadil Mohamed Al-Fadil,Amira Al-Fadil Mohamed Al-Fadil
Asia Mohamed Abdalla,Q112325591,Asia Mohamed Abdalla,Asia Mohamed Abdalla
Awad Ahmad al-Jaz,Q112325592,Awad Ahmad al-Jaz,Awad Ahmad al-Jaz
Awad al-Hassan al-Nur,Q112325594,Awad al-Hassan al-Nur,Awad al-Hassan al-Nur
Azhari Abd-al-Qadir Abdalla,Q112325595,Azhari Abd-al-Qadir Abdalla,Azhari Abd-al-Qadir Abdalla
Azhari Al-Tigani Awad al-Sid,Q112325596,Azhari Al-Tigani Awad al-Sid,Azhari Al-Tigani Awad al-Sid
Badereldien Mahmoud,Q112325597,Badereldien Mahmoud,Badereldien Mahmoud
Badr Eddin Mohammed Ahmed Suleiman,Q112325598,Badr Eddin Mohammed Ahmed Suleiman,Badr Eddin Mohammed Ahmed Suleiman
Bahr Idris Abu Garda,Q112325599,Bahr Idris Abu Garda,Bahr Idris Abu Garda
Barakat Musa al-Hawati,Q112325600,Barakat Musa al-Hawati,Barakat Musa al-Hawati
Bushara Aru,Q112325618,Bushara Aru,Bushara Aru
Chamboul Adlane,Q112325619,Chamboul Adlane,Chamboul Adlane
Chol Ram Pang,Q112325620,Chol Ram Pang,Chol Ram Pang
Dak Dop Pishop,Q112325621,Dak Dop Pishop,Dak Dop Pishop
Eissa Bushra Mohamed,Q112325622,Eissa Bushra Mohamed,Eissa Bushra Mohamed
El Zubair Bashir Taha,Q112325623,El Zubair Bashir Taha,El Zubair Bashir Taha
Elias Neyama Lel,Q112325624,Elias Neyama Lel,Elias Neyama Lel
Esmat Abdel-Rahman,Q112325625,Esmat Abdel-Rahman,Esmat Abdel-Rahman
Fadul Abdallah,Q112325627,Fadul Abdallah,Fadul Abdallah
Faisal Hassan Ibrahim,Q112325628,Faisal Hassan Ibrahim,Faisal Hassan Ibrahim
Farah Mustafa Abdallah,Q112325629,Farah Mustafa Abdallah,Farah Mustafa Abdallah
Fatih Taj-al-Sir Abdalla,Q112325630,Fatih Taj-al-Sir Abdalla,Fatih Taj-al-Sir Abdalla
Galwak Deng Garang,Q112325631,Galwak Deng Garang,Galwak Deng Garang
George Boreng Niyami,Q112325632,George Boreng Niyami,George Boreng Niyami
Ghazi Salahedine Atabanai,Q12229359,Ghazi Salahedine Atabanai,Ghazi Salahedine Atabanai
Ghazi al-Sidiq Abdul-Rahim,Q112325635,Ghazi al-Sidiq Abdul-Rahim,Ghazi al-Sidiq Abdul-Rahim
Gutbi el Mahdi,Q112325636,Gutbi el Mahdi,Gutbi el Mahdi
Haider Galakumah,Q112325637,Haider Galakumah,Haider Galakumah
Haj Majid Suwar,Q112325638,Haj Majid Suwar,Haj Majid Suwar
Halima Hassaballa Al-Naeem,Q112325639,Halima Hassaballa Al-Naeem,Halima Hassaballa Al-Naeem
Hamid Mannan,Q112325640,Hamid Mannan,Hamid Mannan
Hamid Mohamed Ali Torine,Q112325641,Hamid Mohamed Ali Torine,Hamid Mohamed Ali Torine
Hamid Moussa Kacha,Q112325642,Hamid Moussa Kacha,Hamid Moussa Kacha
Hamid Muhammad Ibrahim,Q112325643,Hamid Muhammad Ibrahim,Hamid Muhammad Ibrahim
Hamid Muhammad al-Nur Ahmad Mumtaz,Q112325644,Hamid Muhammad al-Nur Ahmad Mumtaz,Hamid Muhammad al-Nur Ahmad Mumtaz
Harun Run Lual,Q112325645,Harun Run Lual,Harun Run Lual
Hasab-al-Nabi Musa Ahmed,Q112325646,Hasab-al-Nabi Musa Ahmed,Hasab-al-Nabi Musa Ahmed
Hasan Uthman Rizq,Q112325647,Hasan Uthman Rizq,Hasan Uthman Rizq
Hashim Mohamed Salim,Q112325648,Hashim Mohamed Salim,Hashim Mohamed Salim
Hassabo Mohamed Abdel Rahman,Q16127041,Hassabo Mohamed Abdel Rahman,Hassabo Mohamed Abdel Rahman
Hassan Ismail Sid Ahmed,Q112325651,Hassan Ismail Sid Ahmed,Hassan Ismail Sid Ahmed
Hassan Mohammed Hilal,Q112325652,Hassan Mohammed Hilal,Hassan Mohammed Hilal
Ibrahim Adam Ahmed Al-Dekhairi,Q112325653,Ibrahim Adam Ahmed Al-Dekhairi,Ibrahim Adam Ahmed Al-Dekhairi
Ibrahim Ahmad Umar,Q112325654,Ibrahim Ahmad Umar,Ibrahim Ahmad Umar
Ibrahim Suleiman Hassan,Q112325655,Ibrahim Suleiman Hassan,Ibrahim Suleiman Hassan
Ibrahim Yousif Mohamed,Q112325656,Ibrahim Yousif Mohamed,Ibrahim Yousif Mohamed
Idris Suleiman Yousif,Q112325657,Idris Suleiman Yousif,Idris Suleiman Yousif
Isam Ahmad al-Bashir,Q112325658,Isam Ahmad al-Bashir,Isam Ahmad al-Bashir
Ishaq Adam Bashir,Q112325659,Ishaq Adam Bashir,Ishaq Adam Bashir
Ishraqah Sayed Mahmoud,Q112325660,Ishraqah Sayed Mahmoud,Ishraqah Sayed Mahmoud
Jalal Yusuf Muhammad al-Duqayrt,Q112325661,Jalal Yusuf Muhammad al-Duqayrt,Jalal Yusuf Muhammad al-Duqayrt
James Kol Rona,Q112325662,James Kol Rona,James Kol Rona
Josef Malwal,Q112325663,Josef Malwal,Josef Malwal
Joseph Lual Achwel,Q112325664,Joseph Lual Achwel,Joseph Lual Achwel
Joseph Maloual,Q112325665,Joseph Maloual,Joseph Maloual
Joseph Okelo,Q112325666,Joseph Okelo,Joseph Okelo
Kamal Abdul-Latif,Q112325667,Kamal Abdul-Latif,Kamal Abdul-Latif
Kamal Ali Mohammed,Q112325668,Kamal Ali Mohammed,Kamal Ali Mohammed
Kamal Mohamed Obeid,Q112325669,Kamal Mohamed Obeid,Kamal Mohamed Obeid
Karam al-Din Abd-al-Mawla,Q112325671,Karam al-Din Abd-al-Mawla,Karam al-Din Abd-al-Mawla
Khalil Abdalla Mohamed Ali,Q112325673,Khalil Abdalla Mohamed Ali,Khalil Abdalla Mohamed Ali
Khamis Kajou Kunda,Q112325674,Khamis Kajou Kunda,Khamis Kajou Kunda
Kosti Manibe,Q112325675,Kosti Manibe,Kosti Manibe
Kuwal Maniang Ajok,Q112325676,Kuwal Maniang Ajok,Kuwal Maniang Ajok
Lt-Gen Umar Hasan Ahmad al-Bashir,Q57265,Lt-Gen Umar Hasan Ahmad al-Bashir,Lt-Gen Umar Hasan Ahmad al-Bashir
Lual Achwel Deng,Q112325678,Lual Achwel Deng,Lual Achwel Deng
Luka Byong,Q112325679,Luka Byong,Luka Byong
Magdi Hassan Yassin,Q112325681,Magdi Hassan Yassin,Magdi Hassan Yassin
Mahdi Ibrahim,Q112325682,Mahdi Ibrahim,Mahdi Ibrahim
Majdhub al-Khalifah Ahmad,Q112325683,Majdhub al-Khalifah Ahmad,Majdhub al-Khalifah Ahmad
Makawi Mohammed Awad,Q112325714,Makawi Mohammed Awad,Makawi Mohammed Awad
Malek Agar Ayar,Q112325715,Malek Agar Ayar,Malek Agar Ayar
Mansour Yousif Al-Agab,Q112325717,Mansour Yousif Al-Agab,Mansour Yousif Al-Agab
Martin Malwal Arop,Q112325718,Martin Malwal Arop,Martin Malwal Arop
Mashaer Mohamed Al-Amin Abdallah,Q112325719,Mashaer Mohamed Al-Amin Abdallah,Mashaer Mohamed Al-Amin Abdallah
Mashair Ahmad al-Amin al-Dulab,Q112325720,Mashair Ahmad al-Amin al-Dulab,Mashair Ahmad al-Amin al-Dulab
Mekki Ali Balayil,Q112325721,Mekki Ali Balayil,Mekki Ali Balayil
Mhadi Babou Nimer,Q112325722,Mhadi Babou Nimer,Mhadi Babou Nimer
Modathir Abdul-Ghani Abdul-Rahman,Q112325723,Modathir Abdul-Ghani Abdul-Rahman,Modathir Abdul-Ghani Abdul-Rahman
Mohamed Abdul Karim Al-Hud,Q112325724,Mohamed Abdul Karim Al-Hud,Mohamed Abdul Karim Al-Hud
Mohamed Abu Zaid Mustafa,Q112325725,Mohamed Abu Zaid Mustafa,Mohamed Abu Zaid Mustafa
Mohamed Ahmed Taher Abu Kalabish,Q112325726,Mohamed Ahmed Taher Abu Kalabish,Mohamed Ahmed Taher Abu Kalabish
Mohamed Ahmed bin Awaf,Q112325727,Mohamed Ahmed bin Awaf,Mohamed Ahmed bin Awaf
Mohamed Bushara Dosa,Q112325728,Mohamed Bushara Dosa,Mohamed Bushara Dosa
Mohamed Khair el Zubair,Q112325729,Mohamed Khair el Zubair,Mohamed Khair el Zubair
Mohamed Zayed Awad,Q112325730,Mohamed Zayed Awad,Mohamed Zayed Awad
Mohammed Ali al-Mardi,Q112325731,Mohammed Ali al-Mardi,Mohammed Ali al-Mardi
Mohammed Osman Suleiman Rikabi,Q112325732,Mohammed Osman Suleiman Rikabi,Mohammed Osman Suleiman Rikabi
Mohammed Tahi Aila,Q112325733,Mohammed Tahi Aila,Mohammed Tahi Aila
Mohammed Tahir Ella,Q48728938,Mohammed Tahir Ella,Mohammed Tahir Ella
Mohammed Yousif Ali Yousif,Q112325735,Mohammed Yousif Ali Yousif,Mohammed Yousif Ali Yousif
Mohammed Yusuf Abdallah,Q112325736,Mohammed Yusuf Abdallah,Mohammed Yusuf Abdallah
Mohammed al-Amin Issa Kabbashi,Q112325738,Mohammed al-Amin Issa Kabbashi,Mohammed al-Amin Issa Kabbashi
Mohammed al-Amine Khalifa,Q112325739,Mohammed al-Amine Khalifa,Mohammed al-Amine Khalifa
Mohmed Abu-Fatima,Q112325740,Mohmed Abu-Fatima,Mohmed Abu-Fatima
Moustafa Osmane Ismail,Q6943310,Moustafa Osmane Ismail,Moustafa Osmane Ismail
Muattaz Musa Abdallah Salim,Q56556415,Muattaz Musa Abdallah Salim,Muattaz Musa Abdallah Salim
Mubarak Muhammad Ali al-Majdhub,Q112325743,Mubarak Muhammad Ali al-Majdhub,Mubarak Muhammad Ali al-Majdhub
Muhammad Ahmad Salim,Q112325744,Muhammad Ahmad Salim,Muhammad Ahmad Salim
Musa Mohamed Karama,Q112325745,Musa Mohamed Karama,Musa Mohamed Karama
Musa Tibin Musa,Q112325746,Musa Tibin Musa,Musa Tibin Musa
Mustafa Osman al Obeid,Q112325747,Mustafa Osman al Obeid,Mustafa Osman al Obeid
Nafi Ali Nafi,Q112325748,Nafi Ali Nafi,Nafi Ali Nafi
Osama Abdalla Mohamed Al-Hassan,Q112325749,Osama Abdalla Mohamed Al-Hassan,Osama Abdalla Mohamed Al-Hassan
Osman Omar al-Sharif,Q112325750,Osman Omar al-Sharif,Osman Omar al-Sharif
Osman Yusuf Kibir,Q2161477,Osman Yusuf Kibir,Osman Yusuf Kibir
Osman al-Toam Hamad,Q112325752,Osman al-Toam Hamad,Osman al-Toam Hamad
Osmane al-Hadi Ibrahim,Q112325753,Osmane al-Hadi Ibrahim,Osmane al-Hadi Ibrahim
Paul Mithanq,Q112325754,Paul Mithanq,Paul Mithanq
Peter Niyot Kok,Q112325755,Peter Niyot Kok,Peter Niyot Kok
Philip Thon Leek,Q112325756,Philip Thon Leek,Philip Thon Leek
Rudhwan Mohamed Ahmed Murjan,Q112325757,Rudhwan Mohamed Ahmed Murjan,Rudhwan Mohamed Ahmed Murjan
Saddiq al-Sharif Ibrahim Yusuf al-Hindi,Q112325759,Saddiq al-Sharif Ibrahim Yusuf al-Hindi,Saddiq al-Sharif Ibrahim Yusuf al-Hindi
Saif-Eddin Hamad Abdalla,Q112325760,Saif-Eddin Hamad Abdalla,Saif-Eddin Hamad Abdalla
Salah Muhammad Muhammad Salih,Q112325761,Salah Muhammad Muhammad Salih,Salah Muhammad Muhammad Salih
Salaheddin Wansi Mohammed Khair,Q112325762,Salaheddin Wansi Mohammed Khair,Salaheddin Wansi Mohammed Khair
Samiyah Ahmad Muhammad,Q112325763,Samiyah Ahmad Muhammad,Samiyah Ahmad Muhammad
Sayyid Mohamed Qasam al Fidr,Q112325764,Sayyid Mohamed Qasam al Fidr,Sayyid Mohamed Qasam al Fidr
Siddiq Mohamed Tawm Hamad al-Nayer,Q112325765,Siddiq Mohamed Tawm Hamad al-Nayer,Siddiq Mohamed Tawm Hamad al-Nayer
Suaad Abdul Razig,Q112325766,Suaad Abdul Razig,Suaad Abdul Razig
Sua’ad al-Karib,Q112325767,Sua’ad al-Karib,Sua’ad al-Karib
Suhair Ahmed Salah,Q112325795,Suhair Ahmed Salah,Suhair Ahmed Salah
Sumaya Mohammed Ahmed Abu-Kashawa,Q112325796,Sumaya Mohammed Ahmed Abu-Kashawa,Sumaya Mohammed Ahmed Abu-Kashawa
Tabita Sokaya,Q112325797,Tabita Sokaya,Tabita Sokaya
Tahani Abdallah Attiya,Q112325798,Tahani Abdallah Attiya,Tahani Abdallah Attiya
Tayyar Abdallah Ali Safi al-Nur,Q112325799,Tayyar Abdallah Ali Safi al-Nur,Tayyar Abdallah Ali Safi al-Nur
Umar Sulayman Ibrahim,Q112325800,Umar Sulayman Ibrahim,Umar Sulayman Ibrahim
Widad Yacub Ibrahim Uthman,Q112325801,Widad Yacub Ibrahim Uthman,Widad Yacub Ibrahim Uthman
Yahiya Abdalla Mohamed Hamad,Q112325802,Yahiya Abdalla Mohamed Hamad,Yahiya Abdalla Mohamed Hamad
Yusuf Sulayman Takana,Q112325803,Yusuf Sulayman Takana,Yusuf Sulayman Takana
al-Dirdiri Muhammad Ahmad,Q112325804,al-Dirdiri Muhammad Ahmad,al-Dirdiri Muhammad Ahmad
al-Saddiq Majouba Al-Tayeb,Q112325805,al-Saddiq Majouba Al-Tayeb,al-Saddiq Majouba Al-Tayeb
al-Semaih al-Siddiq al-Nur,Q112325806,al-Semaih al-Siddiq al-Nur,al-Semaih al-Siddiq al-Nur
el Hadi Abdallah,Q112325808,el Hadi Abdallah,el Hadi Abdallah
el Tijani Adam el Tahir,Q112325809,el Tijani Adam el Tahir,el Tijani Adam el Tahir
