@@,item,itemlabel,position,positionlabel,start,end
---,Q112674354,Hashim Tahir Sheikh Taha,Q112325317,Minister of Transport,2019-10-15,2020-07-09
---,Q16127041,Hassabo Mohamed Abdel Rahman,Q7925069,Vice-President,2013-12-07,2018-09-10
+++,,Hassan Abdel Qader Hilal,,"Min. Of Environment, Forestry & Urban Development",2012,2014
+++,,Hassan Abdel Qader Hilal,,"Min. Of Environment, Natural Resources & Urban Development",2015,2016
---,Q112325651,Hassan Ismail Sid Ahmed,Q112325275,Communications and Information,2019-03-13,2019-04-11
---,Q112325652,Hassan Mohammed Hilal,Q112325282,"Environment, Forests and Urban Development",2011-12-27,2018-09-09
+++,,Hassan Musa Al Sheikh,,State Min. Of Transport,2001,2002
+++,,Hassan Osman Riziq,,Min. Of Sports & Youth,2001,2005
---,Q286743,Hatim Al-Sir,Q112325315,Trade,2017-05-12,2018-09-09
---,Q286743,Hatim Al-Sir,Q112325317,Transport and Urban Development,2018-09-09,2019-04-11
+++,,Haydar Galukoma Al Dawalab,,Min. Of Youth & Sport,2015,2015
+++,,Husayn Mohammed Hamdi,,Min. Of Youth & Sport,2016,2016
+++,,Ibrahim Adam Ahmad Al Dukhairi,Q112325266,Min. Of Agriculture & Forestry,2015,2016
---,Q112325653,Ibrahim Adam Ahmed Al-Dekhairi,Q112325266,Agriculture and Forests,2015-06-07,2017-05-12
+++,,Ibrahim Ahmad Abd Al Aziz Ghandour,,Assistant To The President,2014,2014
+++,,Ibrahim Ahmad Abd Al Aziz Ghandour,,Min. Of Foreign Affairs,2015,2016
+++,,Ibrahim Ahmad Omer,,Assistant To The President,2000,2002
+++,,Ibrahim Ahmad Omer,,Min. Of Science & Technology,2008,2009
---,Q112325654,Ibrahim Ahmad Umar,Q111192544,Higher Education and Scientific Research,1996-12-02,2000-01-24
---,Q96632057,Ibrahim Elbadawi,Q105926147,Minister of Finance and Economy,2019-09-08,2020-07-09
---,Q21933547,Ibrahim Ghandour,Q109984815,Foreign Affairs,2015-06-07,2018-04-19
---,Q5984644,Ibrahim Mahmoud Hamad,Q112325266,Agriculture,2013-12-08,2015-06-07
---,Q5984644,Ibrahim Mahmoud Hamad,Q112325289,Humanitarian Affairs,2002-11-30,2005-09-21
---,Q5984644,Ibrahim Mahmoud Hamad,Q112325292,Interior,2018-05-14,2018-09-09
---,Q5984644,Ibrahim Mahmoud Hamad,Q112325292,Interior,2008-02-13,2013-12-08
+++,,Ibrahim Mahmoud Hamid,Q112325266,Min. Of Agriculture & Irrigation,2014,2014
+++,,Ibrahim Mahmoud Hamid,,Min. Of Humanitarian Affairs,2003,2005
+++,,Ibrahim Mahmoud Hamid,,Min. Of Interior,2008,2013
---,Q111184176,Ibrahim Mohamed Omar,Q111192637,Science and Technology,2008-02-13,2010-06-16
+++,,Ibrahim Suleiman,,Min. Of Civil Aviation,2000,2000
+++,,Ibrahim Suleiman,,Min. Of Federal Relations,2001,2005
---,Q112325655,Ibrahim Suleiman Hassan,Q112325273,Aviation,2000-01-24,2000-07-10
---,Q112325655,Ibrahim Suleiman Hassan,Q112325284,Federal Government,2000-07-10,2001-02-23
---,Q112325656,Ibrahim Yousif Mohamed,Q112325270,Animal Resources and Fishing,2019-03-13,2019-04-11
---,Q112325657,Idris Suleiman Yousif,Q112325293,International Cooperation,2017-05-12,2018-09-09
---,Q112674357,Idriss al-Traifi,Q112325292,Minister of Interior,2019-09-08,2021-02-09
---,Q67162677,Intisar el-Zein Soghayroun,Q111192544,Minister of Higher Education and Scientific Research,2019-09-08,
+++,,Isam Ahmad Al Bashir,,Min. Of Religious Endowment,2003,2005
+++,,Isam Ahmad Al Bashir,,Min. Of Religious Guidance & Endowment,2001,2002
---,Q112325658,Isam Ahmad al-Bashir,Q112325285,Guidance and Endowment,2001-02-23,2005-09-21
---,Q112325659,Ishaq Adam Bashir,Q112325303,Petroleum and Gas,2019-03-13,2019-04-11
+++,,Ishraqa Sayeed Mahmoud,,"Min. Of Human Resources, Development & Labor",2013,2014
+++,,Ishraqa Sayeed Mahmoud,,Min. Of Intl. Cooperation,2012,2012
---,Q112325660,Ishraqah Sayed Mahmoud,Q112325288,Human Resources and Labour,2012-07-09,2015-06-07
---,Q112325660,Ishraqah Sayed Mahmoud,Q112325293,International Cooperation,2011-12-27,2012-07-09
+++,,Ismat Abdel Rahman Zain Al Abdin,,Min. Of Interior,2015,2016
---,Q112674333,Issa Osman Sharif,Q112325266,Minister of Agriculture,2019-09-08,2020-07-09
+++,,Issam Ahmad Al Bashir,,Min. Of Guidance & Waqfs,2005,2005
+++,,Jalal Al Dugair,,Min. Of Industry,2003,2009
+++,,Jalal Al Dugair,,Min. Of Industry & Investment,2001,2002
+++,,Jalal Al Dugair,,Min. Of Intl. Cooperation,2010,2011
---,Q112325661,Jalal Yusuf Muhammad al-Duqayrt,Q112325290,Industry,2001-02-23,2002-08-19
---,Q112325661,Jalal Yusuf Muhammad al-Duqayrt,Q112325290,Industry,2002-11-30,2010-06-16
---,Q112325661,Jalal Yusuf Muhammad al-Duqayrt,Q112325290,Industry and Investment,2002-08-19,2002-11-30
---,Q112325661,Jalal Yusuf Muhammad al-Duqayrt,Q112325293,International Cooperation,2010-06-16,2011-12-27
---,Q88511256,Jamal Aldin Omar,Q85851442,Minister of Defence,2019-09-08,2020-03-25
+++,,Jamal Mohammed Hassan,,State Min. Of Science & Technology,2001,2002
+++,,James Kok Rew,,Min. Of Foreign Trade,2008,2009
---,Q112325662,James Kol Rona,Q112325283,External Trade,2007-12-26,2010-06-16
---,Q167444,John Garang,Q7925069,Vice-President,2005-07-09,2005-07-30
+++,,John Ukec Leuth,,"Charge D'affaires, Embassy, Washington",2007,2008
---,Q112325663,Josef Malwal,Q112325282,"Environment, Forests and Urban Development",2010-06-16,2011-12-27
---,Q112325663,Josef Malwal,Q112325314,Tourism,2005-09-21,2010-06-16
+++,,Joseph Lual Achuil,,Min. Of Humanitarian Affairs,2010,2011
---,Q112325664,Joseph Lual Achwel,Q112325289,Humanitarian Affairs,2010-06-16,2011-12-27
---,Q112325665,Joseph Maloual,Q112325268,Animal Health,1998-03-09,2000-01-24
---,Q112325665,Joseph Maloual,Q112325272,Architectural Development,2000-07-10,2001-02-23
---,Q112325665,Joseph Maloual,Q112325273,Aviation,2001-02-23,2005-09-21
---,Q112325665,Joseph Maloual,Q112325312,Survey and Urban Development,2000-01-24,2000-07-10
+++,,Joseph Malwal,,Min. Of Aviation,2005,2005
+++,,Joseph Malwal,,Min. Of Civil Aviation,2001,2004
+++,,Joseph Malwal,,Min. Of Survey,2000,2000
+++,,Joseph Malwal,,Min. Of Tourism,2006,2009
+++,,Joseph Mulwal Dong,,"Min. Of Environment, Forestry & Urban Development",2010,2011
---,Q112325666,Joseph Okelo,Q112325307,Relations with the Parliament,2005-09-21,2010-06-16
+++,,Josheph Okelo,,Min. Of Parliamentary Affairs,2006,2009
+++,,Kamal Abd Al Latief,,State Min. Of Cabinet Affairs,2001,2002
+++,,Kamal Abdel Latif Abdel Rahim,,Min. Of Human Resources,2010,2011
+++,,Kamal Abdel Latif Abdel Rahim,,Min. Of Minerals,2012,2013
---,Q67199752,Kamal Abdelmarouf,Q112315909,Deputy Chairman of the Transitional Military Council,2019-04-11,2019-04-13
---,Q112325667,Kamal Abdul-Latif,Q112325288,Human Resources,2010-06-16,2011-12-27
---,Q112325667,Kamal Abdul-Latif,Q112325300,Minerals,2011-12-27,2013-12-08
---,Q112325668,Kamal Ali Mohammed,Q112325296,Irrigation and Water Resources,1999-03-06,2011-12-27
+++,,Kamal Ali Mohammed,,Min. Of Irrigation,2000,2004
+++,,Kamal Ali Mohammed,,Min. Of Irrigation & Water Resources,2010,2011
+++,,Kamal Ali Mohammed,,Min. Of Irrigation & Water Resources,2005,2005
+++,,Kamal Ali Mohammed,,Min. Of Water Resources,2006,2009
---,Q112325669,Kamal Mohamed Obeid,Q112325291,Information,2010-06-16,2011-12-27
+++,,Kamal Mohammed Obied,,Min. Of Information,2010,2011
+++,,Kamaladdin Hassan Ali,,Min. Of International Cooperation,2015,2016
---,Q112325671,Karam al-Din Abd-al-Mawla,Q112325293,International Cooperation,2001-03-21,2002-08-19
---,Q112325671,Karam al-Din Abd-al-Mawla,Q112325274,Minister of Cabinet Affairs,2002-08-19,2005-09-21
---,Q112325673,Khalil Abdalla Mohamed Ali,Q112325308,Religious Affairs,2011-12-27,2012-07-09
+++,,Khalil Abdullah,,Min. Of Guidance & Religious Endowments,2012,2012
+++,,Khalil Abdullah,,Min. Of Religious Affairs,2012,2012
+++,,Khames Kajo Kundah,,Min. Of Higher Education & Scientific Research,2012,2013
---,Q112325674,Khamis Kajou Kunda,Q111192544,Higher Education and Scientific Research,2011-12-27,2013-12-08
+++,,Khidir Haroun,,"Charge D'affaires, Washington, Dc",2001,2006
---,Q112325675,Kosti Manibe,Q112325289,Humanitarian Affairs,2005-09-21,2007-12-26
---,Q112325675,Kosti Manibe,Q112325294,Investment,2007-12-26,2008-09-14
+++,,Kosti Manibe,,Min. Of Cabinet Affairs,2009,2009
+++,,Kosti Manibe,,Min. Of Humanitarian Affairs,2006,2007
+++,,Kosti Manibe,,Min. Of Investment,2008,2008
---,Q112325675,Kosti Manibe,Q112325274,Minister of Cabinet Affairs,2008-09-14,2010-06-16
+++,,Kuol Manyang Ajok,,Min. Of Transportation,2006,2007
---,Q112325676,Kuwal Maniang Ajok,Q112325317,Transport,2005-09-21,2007-12-26
+++,,Lam Akol,,Min. Of Foreign Affairs,2006,2007
+++,,Lam Akol,,Min. Of Transportation,2000,2002
---,Q67222756,Lena el-Sheikh Mahjoub,Q112325298,Minister of Labour,2019-09-08,2021-02-09
---,Q57265,Lt-Gen Umar Hasan Ahmad al-Bashir,Q14948193,President and Prime Minister,1989-06-30,2019-04-11
---,Q57265,Lt-Gen Umar Hasan Ahmad al-Bashir,Q30100623,Prime Minister,1993-10-30,2002-08-19
->,Q112325678,Lual Achwel Deng,Q112325303,Petroleum->Min. Of Petroleum,2010-06-16->2010,2011-12-27->2011
+++,,Luka Biong Deng,,Min. Of Cabinet Affairs,2010,2011
---,Q112325679,Luka Byong,Q112325274,Minister of Cabinet Affairs,2010-06-16,2011-12-27
---,Q112674352,Madani Abbas Madani,Q112325290,Minister of Industry,2019-09-08,2021-02-09
---,Q112325681,Magdi Hassan Yassin,Q105926147,Finance and Economic Planning,2019-03-13,2019-04-11
+++,,Magzoub Al Khalifa,Q112325266,Min. Of Agriculture & Forests,2001,2005
---,Q112325682,Mahdi Ibrahim,Q112325275,Communications and Information,2001-06-14,2005-09-21
---,Q112325682,Mahdi Ibrahim,Q112325291,Information,2005-09-21,2007-12-26
+++,,Mahdi Ibrahim,,Min. Of Information & Communication,2001,2002
+++,,Mahdi Ibrahim Mahammad,,Ambassador To The Us,2000,2000
---,Q112325683,Majdhub al-Khalifah Ahmad,Q112325266,Agriculture,2001-02-23,2005-09-21
---,Q112325714,Makawi Mohammed Awad,Q112325303,Petroleum,2013-12-08,2015-06-07
---,Q112325714,Makawi Mohammed Awad,Q112325317,"Transport, Roads, and Bridges",2015-06-07,2018-09-09
+++,,Makhawi Mohammed Awad,,Min. Of Petroleum,2014,2014
+++,,Makhawi Mohammed Awad,,"Min. Of Transportation, Roads & Bridges",2015,2016
+++,,Makki Ali Balayel,,Min. Of External Trade,2000,2000
+++,,Makwac Teny,,State Min. Of Federal Rule,2001,2002
---,Q112325715,Malek Agar Ayar,Q112325294,Investment,2005-09-21,2007-12-26
+++,,Malik Agar Ayar,,Min. Of Investment,2006,2007
+++,,Mansour Yousif Al Ajab,,Min. Of Trade,2015,2016
---,Q112325717,Mansour Yousif Al-Agab,Q112325315,Trade,2015-06-07,2017-05-12
+++,,Martin Malwal Arop,,Min. At The Cabinet,2005,2005
+++,,Martin Malwal Arop,,Min. Of Cabinet Affairs,2001,2002
---,Q112325718,Martin Malwal Arop,Q112325274,Minister of Cabinet Affairs,2001-02-23,2005-09-21
---,Q112325719,Mashaer Mohamed Al-Amin Abdallah,Q112325320,Welfare and Social Security,2013-12-08,2018-09-09
---,Q112325720,Mashair Ahmad al-Amin al-Dulab,Q112325279,Education,2018-09-09,2019-03-13
+++,,Masheir Mohammed Al Amin Abdallah,,Min. Of Welfare & Social Security,2014,2016
---,Q112325721,Mekki Ali Balayil,Q112325273,Aviation,1999-03-06,2000-01-24
---,Q112325721,Mekki Ali Balayil,Q112325283,External Trade,2000-01-24,2001-02-23
---,Q112325722,Mhadi Babou Nimer,Q112325286,Health,1998-03-09,2000-01-24
+++,,Michael Makuei Lueth,,Min. Of Legal Affairs,2009,2011
+++,,Minni Arkou Minnawi,,Senior Asst. To The President,2007,2010
---,Q112325723,Modathir Abdul-Ghani Abdul-Rahman,Q112325294,Investment,2015-06-07,2017-05-12
---,Q112325724,Mohamed Abdul Karim Al-Hud,Q112325271,"Antiquities, Tourism and Wildlife",2012-07-09,2015-06-07
---,Q112325724,Mohamed Abdul Karim Al-Hud,Q112325275,Communications and Information Technology,2011-12-27,2012-07-09
---,Q112325725,Mohamed Abu Zaid Mustafa,Q112325271,"Antiquities, Tourism and Wildlife",2015-06-07,2018-09-09
---,Q112325725,Mohamed Abu Zaid Mustafa,Q112325286,Health,2018-09-09,2019-03-13
---,Q112325726,Mohamed Ahmed Taher Abu Kalabish,Q112325270,Animal Resources,2008-02-13,2010-06-16
---,Q112325727,Mohamed Ahmed bin Awaf,Q85851442,Defence,2015-08-23,2019-02-23
---,Q112325727,Mohamed Ahmed bin Awaf,Q85851442,Vice-President and Minister of Defence,2019-02-23,2019-04-11
---,Q112325728,Mohamed Bushara Dosa,Q112325297,Justice,2010-06-16,2015-06-07
---,Q63145660,Mohamed Hamdan Daglo,Q112315913,Deputy Chairman of the Sovereignty Council,2019-08-21,2021-10-24
---,Q63145660,Mohamed Hamdan Daglo,Q112315909,Deputy Chairman of the Transitional Military Council,2019-04-13,2019-08-21
---,Q112325729,Mohamed Khair el Zubair,Q105926147,Finance,2000-01-24,2001-02-23
---,Q112325730,Mohamed Zayed Awad,Q112325303,Petroleum and Gas,2015-06-07,2017-05-12
+++,,Mohammed Abdul Kareem Al Hadd,,"Min. Of Antiquities, Tourism & Wildlife",2013,2014
+++,,Mohammed Abdul Kareem Al Hadd,,Min. Of Communications,2012,2013
+++,,Mohammed Abu Zaid Mustafa,,"Min. Of Antiquities, Tourism & Wildlife",2015,2016
+++,,Mohammed Abu Zeid,,State Min. Of Education,2001,2002
+++,,Mohammed Ahmad Al Fadul,,State Min. Of Federal Rule,2001,2002
+++,,Mohammed Ahmad Al Tahir Abu Kalabish,Q112325270,Min. Of Animal & Fish Resources,2008,2009
+++,,Mohammed Al Amin Issa Kabashi,Q112325266,Min. Of Agriculture & Forestry,2006,2007
+++,,Mohammed Al Amin Khalifa,,Sec. Of The Higher Council For Peace,2000,2005
+++,,Mohammed Al Hasan Sabir,,"Governor, Central Bank Of Sudan",2001,2011
+++,,Mohammed Ali Ahmad Karti,,Min. Of Foreign Affairs,2010,2014
+++,,Mohammed Ali Al Mardi,,Min. Of Justice & Prosecutor Gen.,2007,2007
+++,,Mohammed Ali Al Mardi,,Min. Of Justice & Prosecutor General,2006,2006
---,Q112325731,Mohammed Ali al-Mardi,Q112325297,Justice,2005-09-21,2008-02-13
+++,,Mohammed Boshara Dosa,,Min. Of Justice & Prosecutor Gen.,2010,2014
+++,,Mohammed Hassan Al Bahi,,State Min. Of Civil Aviation,2001,2002
+++,,Mohammed Khair Ahmad Al Zubair,,"Governor, Central Bank Of Sudan",2012,2014
+++,,Mohammed Khair Ahmad Al Zubair,,Min. Of Finance & National Economy,2000,2000
---,Q112325732,Mohammed Osman Suleiman Rikabi,Q105926147,Finance,2017-05-12,2018-09-09
---,Q112325733,Mohammed Tahi Aila,Q112325309,Roads and Bridges,2001-02-23,2005-09-21
---,Q112325733,Mohammed Tahi Aila,Q112325309,Roads and Telecommunications,2000-01-24,2001-02-23
---,Q112325733,Mohammed Tahi Aila,Q112325314,Tourism and Environment,1996-04-21,2000-01-24
+++,,Mohammed Tahir Ailla,,Min. Of Roads,2001,2004
+++,,Mohammed Tahir Eila,,Min. Of Communications & Roads,2000,2004
+++,,Mohammed Tahir Eila,,Min. Of Roads & Bridges,2005,2005
---,Q48728938,Mohammed Tahir Ella,Q30100623,Prime Minister,2019-03-13,2019-04-11
---,Q48728938,Mohammed Tahir Ella,Q30100623,"Prime Minister, Finance, and Economic Planning",2019-02-23,2019-03-13
+++,,Mohammed Uthman Al Mirghani,,Assistant To The President,2015,2016
->,Q112325735,Mohammed Yousif Ali Yousif,Q112325290,Industry->Min. Of Industry,2015-06-07->2015,2017-05-12->2016
->,Q112325736,Mohammed Yusuf Abdallah,Q112325276,"Culture, Youth and Sport->Min. Of Culture, Youth & Sport",2005-09-21->2006,2010-06-16->2009
+++,,Mohammed Zayid Awad,,Min. Of Petroleum & Gas,2015,2016
---,Q112325738,Mohammed al-Amin Issa Kabbashi,Q112325266,Agriculture and Forests,2005-09-21,2008-02-13
---,Q112325739,Mohammed al-Amine Khalifa,Q112325274,Minister of Cabinet Affairs,1998-03-09,2000-01-24
---,Q112674342,Mohammed el-Amin el-Tom,Q112325279,Minister of Education,2019-09-08,
---,Q112325740,Mohmed Abu-Fatima,Q112325300,Minerals,2019-03-13,2019-04-11
+++,,Moses Kacoul Machar,,Second Vice President,2001,2005
---,Q23541055,Moses Machar,Q7925069,Vice-President,2001-02-23,2005-07-09
---,Q6943310,Moustafa Osmane Ismail,Q109984815,Foreign Affairs,1998-02-12,2005-09-21
---,Q6943310,Moustafa Osmane Ismail,Q112325294,Investment,2013-12-08,2015-06-07
+++,,Muataz Musa Abdallah Salem,,Min. Of Water Resources & Electricity,2014,2014
---,Q56556415,Muattaz Musa Abdallah Salim,Q30100623,Prime Minister,2018-09-09,2018-09-15
---,Q56556415,Muattaz Musa Abdallah Salim,Q30100623,"Prime Minister, Finance, and Economic Planning",2018-09-15,2019-02-23
---,Q56556415,Muattaz Musa Abdallah Salim,Q112325318,Water Resources and Electricity,2013-12-08,2015-06-07
---,Q56556415,Muattaz Musa Abdallah Salim,Q112325318,"Water Resources, Irrigation, and Electricity",2015-06-07,2018-09-09
---,Q6930870,Mubarak Abdullahi El-Fadil El-Mahdi,Q112325294,Investment,2017-05-12,2018-09-09
+++,,Mubarak Al Fadil Al Mahdi,,Assistant To The President,2003,2004
+++,,Mubarak Magzoub,,Min. Of Higher Education,2001,2005
---,Q112325743,Mubarak Muhammad Ali al-Majdhub,Q111192544,Higher Education,2001-02-23,2005-09-21
+++,,Mudathir Abdelghani Abdel Rahman,,Min. Of Investment,2015,2016
---,Q112325744,Muhammad Ahmad Salim,Q112325297,Justice,2018-05-14,2019-04-11
---,Q112325745,Musa Mohamed Karama,Q112325290,Industry,2017-05-12,2018-09-09
---,Q112325745,Musa Mohamed Karama,Q112325290,Industry and Trade,2018-09-09,2019-03-13
->,Q112325746,Musa Tibin Musa,Q112325270,Animal Resources->Min. Of Animal Resources,2015-06-07->2015,2017-05-12->2016
+++,,Mustafa Osman Al Obeid Salim,,Min. Of Defense (Acting),2015,2015
+++,,Mustafa Osman Ismail,,Min. Of External Relations,2001,2005
+++,,Mustafa Osman Ismail,,Min. Of Foreign Affairs,2000,2005
+++,,Mustafa Osman Ismail,,Min. Of Investment,2014,2014
---,Q112325747,Mustafa Osman al Obeid,Q85851442,Defence,2015-06-07,2015-08-23
+++,,Mutaz Mohammed Musa Salim,,"Min. Of Water Resources, Irrigation & Electricity",2015,2016
+++,,NA,,"Charge D'affaires, Embassy, Washington",2016,2016
+++,,NA,Q112325266,Min. Of Agriculture & Forests,2000,2000
+++,,NA,,Min. Of Cabinet Affairs,2000,2000
+++,,NA,,Min. Of International Cooperation & Investment,2000,2000
+++,,NA,,"Permanent Representative To The Un, New York",2014,2015
+++,,NA,,State Min. Of Defense,2001,2002
---,Q112325748,Nafi Ali Nafi,Q112325284,Federal Government,2001-02-23,2005-09-21
---,Q112325748,Nafi Ali Nafi,Q112325306,Presidential Affairs,2005-09-21,2010-06-16
+++,,Nafie Ali Nafie,,Assistant To The President,2006,2013
+++,,Nafie Ali Nafie,,Min. Of Federal Rule,2001,2005
+++,,Nafie Ali Nafie,,Presidential Councilor For Peace Affairs,2000,2000
---,Q112674365,Nasr al-Din Mufreh,Q112325308,Minister of Religious Affairs,2019-09-08,
---,Q80189081,Nasreldin Abdelbari,Q112325297,Minister of Justice,2019-09-09,
---,Q112674337,Omar Munis,Q112325274,Minister of Cabinet Affairs,2019-09-08,2021-02-09
+++,,Omer Dahab Fadl Mohammed,,"Permanent Representative To The Un, New York",2016,2016
---,Q112325749,Osama Abdalla Mohamed Al-Hassan,Q112325280,Electricity and Dams,2010-06-16,2012-07-09
---,Q112325749,Osama Abdalla Mohamed Al-Hassan,Q112325318,Water Resources and Electricity,2012-07-09,2013-12-08
+++,,Osma Abdalla Mohammed El Hassan,,Min. Of Electricity & Dams,2010,2012
+++,,Osma Abdalla Mohammed El Hassan,,Min. Of Water Resources & Electricity,2013,2013
+++,,Osman Abdalla,,State Min. Of Irrigation,2001,2002
---,Q112325750,Osman Omar al-Sharif,Q112325315,Trade,2011-12-27,2015-06-07
+++,,Osman Omer Al Sharif,,Min. Of Commerce,2014,2014
+++,,Osman Omer Al Sharif,,Min. Of Foreign Trade,2012,2013
---,Q2161477,Osman Yusuf Kibir,Q7925069,Vice-President,2018-09-10,2019-04-11
---,Q112325752,Osman al-Toam Hamad,Q112325318,"Water Resources, Irrigation, and Electricity",2019-03-13,2019-04-11
---,Q112325753,Osmane al-Hadi Ibrahim,Q112325266,Agriculture,1999-03-06,2000-01-24
->,Q2046108,Pagan Amum Okiech,Q112325274,Minister of Cabinet Affairs->Min. Of Cabinet Affairs,2007-12-26->2008,2008-09-14->2008
---,Q112325754,Paul Mithanq,Q112325279,Education,2005-09-21,2007-12-26
->,Q11995405,Peter Adwok Nyaba,Q111192544,Higher Education and Scientific Research->Min. Of Higher Education,2008-09-14->2010,2011-12-27->2011
->,Q112325755,Peter Niyot Kok,Q111192544,Higher Education->Min. Of Higher Education,2005-09-21->2006,2007-12-26->2007
---,Q112325756,Philip Thon Leek,Q112325317,"Transport, Roads, and Bridges",2007-12-26,2010-06-16
+++,,Philip Thon Lik,,Min. Of Transportation,2008,2009
+++,,Qutbi Al Mahdi,,Min. Of Social Planning,2000,2000
+++,,Qutbi Al Mahdi,,Presidential Adviser For Political Affairs,2001,2005
+++,,Riak Gai,Q112325270,Min. Of Animal Resources,2001,2004
---,Q16204805,Riek Gai,Q112325268,Animal Health,2001-02-23,2005-09-21
---,Q112325757,Rudhwan Mohamed Ahmed Murjan,Q112325266,Agriculture and Forests,2019-03-13,2019-04-11
---,Q112325759,Saddiq al-Sharif Ibrahim Yusuf al-Hindi,Q112325293,International Cooperation,2001-02-23,2001-03-21
+++,,Sadiq Ahmad Al Karouri,,Min. Of Minerals,2015,2016
+++,,Saif Al Din Hamed Abdallah,,Min. Of Irrigation & Water Resources,2012,2012
---,Q112325760,Saif-Eddin Hamad Abdalla,Q112325318,Water Resources,2011-12-27,2012-07-09
+++,,Salah Ahmad Mohammed Salih,,Min. Of Presidential Affairs,2001,2004
+++,,Salah Al Din Wanasi Mohammed Khayr,,Min. Of Presidential Affairs,2014,2015
---,Q112325761,Salah Muhammad Muhammad Salih,Q112325306,Presidential Affairs,2001-02-23,2005-09-21
---,Q112325762,Salaheddin Wansi Mohammed Khair,Q112325306,Presidential Affairs,2013-12-08,2017-05-12
->,Q57315,Salva Kiir Mayardit,Q7925069,Vice-President->First Vice President,2005-08-11->2006,2011-07-09->2011
+++,,Samia Ahmad Mohammed,,Min. Of Welfare & Social Planning,2001,2005
---,Q112325763,Samiyah Ahmad Muhammad,Q112325311,Social Welfare,2001-02-23,2005-09-21
---,Q112325763,Samiyah Ahmad Muhammad,Q112325320,Welfare and Social Development,2007-12-26,2010-06-16
+++,,Sammani Al Cheikh Al Waseilah,,Min. Of Transportation,2003,2005
---,Q112325764,Sayyid Mohamed Qasam al Fidr,Q112325318,"Water Resources, Irrigation, and Electricity",2018-09-09,2019-03-13
+++,,Siddiq Al Mugtaba,,State Min. Of Culture & Tourism,2001,2002
+++,,Siddiq Al Sharif Al Hindi,,Min. Of International Cooperation,2001,2002
---,Q112325765,Siddiq Mohamed Tawm Hamad al-Nayer,Q112325322,Youth and Sports,2013-01-15,2015-06-07
+++,,Siddiq Mohammed Tawm Hammad Al Naier,,Min. Of Youth & Sports,2014,2014
---,Q112325766,Suaad Abdul Razig,Q112325279,Education,2011-12-27,2017-05-12
+++,,Suad Abdel Raziq Mohammed Sayeed,,Min. Of General Education,2012,2016
---,Q112325767,Sua’ad al-Karib,Q112325320,Welfare and Social Security,2019-03-13,2019-04-11
---,Q112325795,Suhair Ahmed Salah,Q111192544,Higher Education and Scientific Research,2019-03-13,2019-04-11
+++,,Sulieman Salman Al Safi,,State Min. Of Federal Rule,2001,2002
---,Q112325796,Sumaya Mohammed Ahmed Abu-Kashawa,Q111192544,Higher Education and Scientific Research,2013-12-08,2018-09-09
+++,,Sumia Mohammed Ahmad Abu Kashawa,,Min. Of Higher Education & Scientific Research,2014,2016
---,Q112325797,Tabita Sokaya,Q112325286,Health,2005-09-21,2010-06-16
+++,,Tahani Abdallah Atia,,Min. Of Communication & Information Technology,2015,2016
+++,,Tahani Abdallah Atia,,Min. Of Science & Communications,2014,2014
---,Q112325798,Tahani Abdallah Attiya,Q112325275,Communications and Information Technology,2015-06-07,2018-09-09
---,Q112325798,Tahani Abdallah Attiya,Q111192637,Science and Communications,2013-12-08,2015-06-07
+++,,Tayyar Abdallah Ali Safi Al Nur,,Min. Of Cabinet Affairs,2003,2005
---,Q112325799,Tayyar Abdallah Ali Safi al-Nur,Q112325274,Minister of Cabinet Affairs,2003-05-08,2005-09-21
+++,,Thabisa Shokaya,,Min. Of Health,2006,2009
+++,,Umar Hasan Ahmad Al Bashir,Q14948193,President,2000,2016
---,Q112325800,Umar Sulayman Ibrahim,Q112325276,"Culture, Tourism, and Antiquities",2018-09-09,2019-03-13
---,Q67163842,Wala'a Essam al-Boushi,Q112325322,Minister of Youth and Sports,2019-09-08,2021-02-09
---,Q112325801,Widad Yacub Ibrahim Uthman,Q112325320,Welfare and Social Security,2018-09-09,2019-03-13
---,Q112325802,Yahiya Abdalla Mohamed Hamad,Q112325275,Communications and Information Technology,2010-06-16,2011-12-27
+++,,Yahiya Abdallah Mohammed Hamad,,Min. Of Communications,2010,2011
---,Q112674360,Yasser Abbas Mohamed Ali,Q112325296,Minister of Irrigation and Water Resources,2019-09-08,
---,Q112674346,Youssef Adam Aldai,Q112325284,Minister of Federal Government,2019-09-08,2021-02-09
---,Q112325803,Yusuf Sulayman Takana,Q112325293,International Cooperation,2002-08-19,2005-09-21
+++,,Yusuf Suleiman Takana,,Min. Of International Cooperation,2003,2005
+++,,Zahawi Ibrahim Malek,,Min. Of Information & Communication,2006,2009
+++,,Zahawi Ibrahim Malek,,Min. Of Information & Communication,2003,2004
---,Q106661767,Zubair Ahmed al-Hassan,Q112325281,Energy and Mining,2008-02-13,2010-06-16
---,Q106661767,Zubair Ahmed al-Hassan,Q105926147,Finance,2002-05-07,2008-02-13
+++,,Zubeir Bashir Taha,Q112325266,Min. Of Agriculture & Forestry,2008,2009
+++,,Zubeir Bashir Taha,,Min. Of Higher Education & Scientific Research,2000,2000
+++,,Zubeir Bashir Taha,,Min. Of Interior,2006,2007
+++,,Zubeir Bashir Taha,,Min. Of Science & Technology,2001,2005
+++,,Zubeir Mohammed Hassan,,Min. Of Finance & Planning,2006,2009
